Gemeindeschluessel;Landkreis
8425000;Alb-Donau-Kreis
8426000;Biberach
8435000;Bodenseekreis
8436000;Ravensburg
8437000;Sigmaringen
9161000;Ingolstadt, Stadt
9162000;München, Stadt
9163000;Rosenheim, Stadt
9171000;Altötting
9172000;Berchtesgadener Land
9173000;Bad Tölz-Wolfratshausen
9174000;Dachau
9175000;Ebersberg
9176000;Eichstätt
9177000;Erding
9178000;Freising
9179000;Fürstenfeldbruck
9180000;Garmisch-Partenkirchen
9181000;Landsberg am Lech
9182000;Miesbach
9183000;Mühldorf a.Inn
9184000;München
9185000;Neuburg-Schrobenhausen
9186000;Pfaffenhofen a.d.Ilm
9187000;Rosenheim
9188000;Starnberg
9189000;Traunstein
9190000;Weilheim-Schongau
9261000;Landshut, Stadt
9262000;Passau, Stadt
9263000;Straubing, Stadt
9271000;Deggendorf
9272000;Freyung-Grafenau
9273000;Kelheim
9274000;Landshut
9275000;Passau
9276000;Regen
9277000;Rottal-Inn
9278000;Straubing-Bogen
9279000;Dingolfing-Landau
9361000;Amberg, Stadt
9362000;Regensburg, Stadt
9363000;Weiden i.d.OPf., Stadt
9371000;Amberg-Sulzbach
9372000;Cham
9373000;Neumarkt i.d.OPf.
9374000;Neustadt a.d.Waldnaab
9375000;Regensburg
9376000;Schwandorf
9377000;Tirschenreuth
9461000;Bamberg, Stadt
9462000;Bayreuth, Stadt
9463000;Coburg, Stadt
9464000;Hof, Stadt
9471000;Bamberg
9472000;Bayreuth
9473000;Coburg
9474000;Forchheim
9475000;Hof
9476000;Kronach
9477000;Kulmbach
9478000;Lichtenfels
9479000;Wunsiedel i.Fichtelgebirge
9561000;Ansbach, Stadt
9562000;Erlangen, Stadt
9563000;Fürth, Stadt
9564000;Nürnberg, Stadt
9565000;Schwabach, Stadt
9571000;Ansbach
9572000;Erlangen-Höchstadt
9573000;Fürth
9574000;Nürnberger Land
9575000;Neustadt a.d.Aisch-Bad Windsheim
9576000;Roth
9577000;Weißenburg-Gunzenhausen
9661000;Aschaffenburg, Stadt
9662000;Schweinfurt, Stadt
9663000;Würzburg, Stadt
9671000;Aschaffenburg
9672000;Bad Kissingen
9673000;Rhön-Grabfeld
9674000;Haßberge
9675000;Kitzingen
9676000;Miltenberg
9677000;Main-Spessart
9678000;Schweinfurt
9679000;Würzburg
9761000;Augsburg, Stadt
9762000;Kaufbeuren, Stadt
9763000;Kempten (Allgäu), Stadt
9764000;Memmingen, Stadt
9771000;Aichach-Friedberg
9772000;Augsburg
9773000;Dillingen a.d.Donau
9774000;Günzburg
9775000;Neu-Ulm
9776000;Lindau (Bodensee)
9777000;Ostallgäu
9778000;Unterallgäu
9779000;Donau-Ries
9780000;Oberallgäu
10041000;Regionalverband Saarbrücken
10042000;Merzig-Wadern
10043000;Neunkirchen
10044000;Saarlouis
10045000;Saarpfalz-Kreis
10046000;St. Wendel
11000000;Berlin, Stadt
12051000;Brandenburg an der Havel, Stadt
12052000;Cottbus, Stadt
12053000;Frankfurt (Oder), Stadt
12054000;Potsdam, Stadt
12060000;Barnim
12061000;Dahme-Spreewald
12062000;Elbe-Elster
12063000;Havelland
12064000;Märkisch-Oderland
12065000;Oberhavel
12066000;Oberspreewald-Lausitz
12067000;Oder-Spree
12068000;Ostprignitz-Ruppin
12069000;Potsdam-Mittelmark
12070000;Prignitz
12071000;Spree-Neiße
12072000;Teltow-Fläming
12073000;Uckermark
13003000;Rostock, Stadt
13004000;Schwerin, Stadt
13071000;Mecklenburgische Seenplatte
13072000;Landkreis Rostock
13073000;Vorpommern-Rügen
13074000;Nordwestmecklenburg
13075000;Vorpommern-Greifswald
13076000;Ludwigslust-Parchim
14511000;Chemnitz, Stadt
14521000;Erzgebirgskreis
14522000;Mittelsachsen
14523000;Vogtlandkreis
14524000;Zwickau
14612000;Dresden, Stadt
14625000;Bautzen
14626000;Görlitz
14627000;Meißen
14628000;Sächsische Schweiz-Osterzgebirge
14713000;Leipzig, Stadt
14729000;Leipzig
14730000;Nordsachsen
15001000;Dessau-Roßlau, Stadt
15002000;Halle (Saale), Stadt
15003000;Magdeburg, Stadt
15081000;Altmarkkreis Salzwedel
15082000;Anhalt-Bitterfeld
15083000;Börde
15084000;Burgenlandkreis
15085000;Harz
15086000;Jerichower Land
15087000;Mansfeld-Südharz
15088000;Saalekreis
15089000;Salzlandkreis
15090000;Stendal
15091000;Wittenberg
16051000;Erfurt, Stadt
16052000;Gera, Stadt
16053000;Jena, Stadt
16054000;Suhl, Stadt
16055000;Weimar, Stadt
16056000;Eisenach, Stadt
16061000;Eichsfeld
16062000;Nordhausen
16063000;Wartburgkreis
16064000;Unstrut-Hainich-Kreis
16065000;Kyffhäuserkreis
16066000;Schmalkalden-Meiningen
16067000;Gotha
16068000;Sömmerda
16069000;Hildburghausen
16070000;Ilm-Kreis
16071000;Weimarer Land
16072000;Sonneberg
16073000;Saalfeld-Rudolstadt
16074000;Saale-Holzland-Kreis
16075000;Saale-Orla-Kreis
16076000;Greiz
16077000;Altenburger Land
